CLIENTE;DATA;VALOR;PRODUTO
Cliente_001;01/10/2024;13768.5101899655;Processador Intel i7
Cliente_001;01/05/2023;13768.5101899655;Memória RAM 16GB DDR4
Cliente_001;01/12/2022;13768.5101899655;SSD 1TB NVMe
Cliente_001;01/12/2024;13768.5101899655;Cooler CPU Water Cooler
Cliente_001;01/12/2023;13768.5101899655;Mouse Gamer Logitech
Cliente_001;01/11/2024;13768.5101899655;Teclado Mecânico Redragon
Cliente_001;01/06/2024;13768.5101899655;Placa-Mãe ASUS B550
Cliente_001;01/09/2025;13768.5101899655;Cooler CPU Water Cooler
Cliente_001;01/01/2023;13768.5101899655;SSD 1TB NVMe
Cliente_001;01/12/2024;13768.5101899655;Processador Intel i7
Cliente_001;01/12/2022;13768.5101899655;Mouse Gamer Logitech
Cliente_001;01/09/2024;13768.5101899655;Placa de Vídeo RTX 3060
Cliente_001;01/01/2024;13768.5101899655;Cadeira Gamer Reclinável
Cliente_001;01/04/2025;13768.5101899655;Webcam Full HD Logitech
Cliente_001;01/11/2024;13768.5101899655;Placa-Mãe ASUS B550
Cliente_001;01/08/2022;13768.5101899655;Cadeira Gamer Reclinável
Cliente_001;01/11/2022;13768.5101899655;Cooler CPU Water Cooler
Cliente_001;01/05/2022;13768.5101899655;Webcam Full HD Logitech
Cliente_001;01/10/2023;13768.5101899655;Placa-Mãe Gigabyte Z690
Cliente_001;01/08/2025;13768.5101899655;Memória RAM 16GB DDR4
Cliente_001;01/07/2022;13768.5101899655;Cooler CPU Water Cooler
Cliente_001;01/09/2025;13768.5101899655;Placa-Mãe Gigabyte Z690
Cliente_001;01/12/2024;13768.5101899655;Cooler CPU Water Cooler
Cliente_001;01/04/2023;13768.5101899655;Placa-Mãe Gigabyte Z690
Cliente_001;01/12/2022;13768.5101899655;Placa-Mãe Gigabyte Z690
Cliente_001;01/05/2023;13768.5101899655;Monitor 27'' Full HD
Cliente_001;01/03/2023;13768.5101899655;Mouse Gamer Logitech
Cliente_001;01/07/2024;13768.5101899655;Memória RAM 16GB DDR4
Cliente_001;01/11/2024;13768.5101899655;Placa de Vídeo RX 6600
Cliente_001;01/07/2022;13768.5101899655;Webcam Full HD Logitech
Cliente_001;01/10/2022;13768.5101899655;Mouse Gamer Logitech
Cliente_001;01/06/2022;13768.5101899655;Headset Gamer HyperX
Cliente_001;01/11/2023;13768.5101899655;Monitor 32'' 4K
Cliente_001;01/11/2024;13768.5101899655;Mousepad Grande RGB
Cliente_001;01/04/2025;13768.5101899655;Processador AMD Ryzen 5
Cliente_001;01/06/2024;13768.5101899655;Memória RAM 16GB DDR4
Cliente_001;01/01/2025;13768.5101899655;Placa de Vídeo RX 6600
Cliente_001;01/07/2025;13768.5101899655;Webcam Full HD Logitech
Cliente_001;01/07/2023;13768.5101899655;Placa de Vídeo RTX 3060
Cliente_001;01/04/2024;13768.5101899655;HD 2TB Seagate
Cliente_001;01/02/2025;13768.5101899655;Placa de Vídeo RTX 3060
Cliente_001;01/11/2023;13768.5101899655;Webcam Full HD Logitech
Cliente_001;01/05/2023;13768.5101899655;Placa de Vídeo RX 6600
Cliente_001;01/06/2022;13768.5101899655;Cooler CPU Water Cooler
Cliente_001;01/05/2024;13768.5101899655;HD 2TB Seagate
Cliente_001;01/12/2023;13768.5101899655;Placa-Mãe Gigabyte Z690
Cliente_001;01/03/2022;13768.5101899655;HD 2TB Seagate
Cliente_001;01/06/2022;13768.5101899655;Memória RAM 16GB DDR4
Cliente_001;01/09/2025;13768.5101899655;Cadeira Gamer Reclinável
Cliente_001;01/04/2022;13768.5101899655;Mousepad Grande RGB
Cliente_001;01/02/2023;13768.5101899655;Webcam Full HD Logitech
Cliente_001;01/01/2023;13768.5101899655;Cooler CPU Water Cooler
Cliente_001;01/06/2025;13768.5101899655;SSD 1TB NVMe
Cliente_001;01/07/2024;13768.5101899655;Placa de Vídeo RX 6600
